fixture_id,fixture_referee,fixture_date,venue_id,venue_name,venue_city,status_long,status_short,status_elapsed,league_id,league_name,league_country,league_logo,league_flag,league_season,league_round,teams_home_id,teams_home_name,teams_home_logo,teams_home_winner,teams_away_id,teams_away_name,teams_away_logo,teams_away_winner,goals_home,goals_away,score_halftime_home,score_halftime_away,score_fulltime_home,score_fulltime_away,home_rank,home_elo,away_rank,away_elo
187445,,2010-08-07,,Stade de l'Abbé Deschamps (Auxerre),,Match Finished,FT,90,61,Ligue 1,France,https://media-4.api-sports.io/football/leagues/61.png,https://media-4.api-sports.io/flags/fr.svg,2010,Regular Season - 1,108,Auxerre,https://media-4.api-sports.io/football/teams/108.png,0,97,Lorient,https://media-4.api-sports.io/football/teams/97.png,0,2,2,1,1,2,2,31,1745.1607666,44,1683.95251465
187446,,2010-08-07,,Stade Félix Bollaert (Lens),,Match Finished,FT,90,61,Ligue 1,France,https://media-4.api-sports.io/football/leagues/61.png,https://media-4.api-sports.io/flags/fr.svg,2010,Regular Season - 1,116,Lens,https://media-4.api-sports.io/football/teams/116.png,False,102,Nancy,https://media-4.api-sports.io/football/teams/102.png,True,1,2,0,1,1,2,73,1626.79138184,75,1622.32727051
187447,,2010-08-07,,Stade de Gerland (Lyon),,Match Finished,FT,90,61,Ligue 1,France,https://media-4.api-sports.io/football/leagues/61.png,https://media-4.api-sports.io/flags/fr.svg,2010,Regular Season - 1,80,Lyon,https://media-4.api-sports.io/football/teams/80.png,0,91,Monaco,https://media-4.api-sports.io/football/teams/91.png,0,0,0,0,0,0,0,10,1821.31091309,61,1647.45019531
187448,,2010-08-07,,Stade Vélodrome (Marseille),,Match Finished,FT,90,61,Ligue 1,France,https://media-4.api-sports.io/football/leagues/61.png,https://media-4.api-sports.io/flags/fr.svg,2010,Regular Season - 1,81,Marseille,https://media-4.api-sports.io/football/teams/81.png,False,88,Caen,https://media-4.api-sports.io/football/teams/88.png,True,1,2,0,0,1,2,12,1814.24658203,89,1584.63098145
187449,,2010-08-07,,Stade Municipal du Ray (Nice),,Match Finished,FT,90,61,Ligue 1,France,https://media-4.api-sports.io/football/leagues/61.png,https://media-4.api-sports.io/flags/fr.svg,2010,Regular Season - 1,84,Nice,https://media-4.api-sports.io/football/teams/84.png,0,105,Valenciennes,https://media-4.api-sports.io/football/teams/105.png,0,0,0,0,0,0,0,78,1619.30041504,58,1650.22387695
187451,,2010-08-07,,Stade de la Route de Lorient (Rennes),,Match Finished,FT,90,61,Ligue 1,France,https://media-4.api-sports.io/football/leagues/61.png,https://media-4.api-sports.io/flags/fr.svg,2010,Regular Season - 1,94,Rennes,https://media-4.api-sports.io/football/teams/94.png,0,79,Lille,https://media-4.api-sports.io/football/teams/79.png,0,1,1,1,0,1,1,43,1684.81604004,18,1782.83776855
187454,,2010-08-08,,Stade de la Mosson (Montpellier),,Match Finished,FT,90,61,Ligue 1,France,https://media-4.api-sports.io/football/leagues/61.png,https://media-4.api-sports.io/flags/fr.svg,2010,Regular Season - 1,82,Montpellier,https://media-4.api-sports.io/football/teams/82.png,True,78,Bordeaux,https://media-4.api-sports.io/football/teams/78.png,False,1,0,0,0,1,0,46,1678.0958252,24,1752.52648926
187459,,2010-08-14,,Stade Nungesser (Valenciennes),,Match Finished,FT,90,61,Ligue 1,France,https://media-4.api-sports.io/football/leagues/61.png,https://media-4.api-sports.io/flags/fr.svg,2010,Regular Season - 2,105,Valenciennes,https://media-4.api-sports.io/football/teams/105.png,True,81,Marseille,https://media-4.api-sports.io/football/teams/81.png,False,3,2,0,0,3,2,58,1651.65148926,13,1799.3503418
187456,,2010-08-14,,Stade Yves Allainmat - Le Moustoir (Lorient),,Match Finished,FT,90,61,Ligue 1,France,https://media-4.api-sports.io/football/leagues/61.png,https://media-4.api-sports.io/flags/fr.svg,2010,Regular Season - 2,97,Lorient,https://media-4.api-sports.io/football/teams/97.png,False,84,Nice,https://media-4.api-sports.io/football/teams/84.png,True,1,2,1,1,1,2,42,1687.828125,79,1617.87280273
187457,,2010-08-14,,Stade Marcel Picot (Tomblaine),,Match Finished,FT,90,61,Ligue 1,France,https://media-4.api-sports.io/football/leagues/61.png,https://media-4.api-sports.io/flags/fr.svg,2010,Regular Season - 2,102,Nancy,https://media-4.api-sports.io/football/teams/102.png,False,94,Rennes,https://media-4.api-sports.io/football/teams/94.png,True,0,3,0,0,0,3,71,1632.57666016,45,1685.30944824
