,league,season,team,game,date,round,day,venue,result,GF,GA,opponent,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,time,teams_home_name,teams_home_logo,teams_away_name,teams_away_logo
0,ENG-Premier League,2021,Arsenal,2020-09-12 Fulham-Arsenal,9/12/2020,Matchweek 1,Sat,Away,W,3,0,Fulham,2,0,0,12,12,2,16,18,5,0,0,0,42,5,8,38.5,12:30:00,Arsenal,https://media-4.api-sports.io/football/teams/42.png,Fulham,https://media-4.api-sports.io/football/teams/36.png
1,ENG-Premier League,2021,Arsenal,2020-09-19 Arsenal-West Ham,9/19/2020,Matchweek 2,Sat,Home,W,2,1,West Ham,0,0,0,11,12,5,17,11,5,0,0,0,41,16,14,53.3,20:00:00,Arsenal,https://media-4.api-sports.io/football/teams/42.png,West Ham,https://media-4.api-sports.io/football/teams/48.png
2,ENG-Premier League,2021,Arsenal,2020-09-28 Liverpool-Arsenal,9/28/2020,Matchweek 3,Mon,Away,L,1,3,Liverpool,2,0,0,7,11,5,8,7,6,0,0,0,49,11,6,64.7,20:00:00,Arsenal,https://media-4.api-sports.io/football/teams/42.png,Liverpool,https://media-4.api-sports.io/football/teams/40.png
3,ENG-Premier League,2021,Arsenal,2020-10-04 Arsenal-Sheffield Utd,10/4/2020,Matchweek 4,Sun,Home,W,2,1,Sheffield Utd,0,0,0,3,8,0,18,10,4,0,0,0,39,17,14,54.8,14:00:00,Arsenal,https://media-4.api-sports.io/football/teams/42.png,Sheffield Utd,https://media-4.api-sports.io/football/teams/62.png
4,ENG-Premier League,2021,Arsenal,2020-10-17 Manchester City-Arsenal,10/17/2020,Matchweek 5,Sat,Away,L,0,1,Manchester City,1,0,0,10,15,2,13,6,10,0,0,0,52,12,15,44.4,17:30:00,Arsenal,https://media-4.api-sports.io/football/teams/42.png,Manchester City,https://media-4.api-sports.io/football/teams/50.png
5,ENG-Premier League,2021,Arsenal,2020-10-25 Arsenal-Leicester City,10/25/2020,Matchweek 6,Sun,Home,L,0,1,Leicester City,3,0,0,13,9,1,20,12,11,0,0,0,49,10,15,40.0,19:15:00,Arsenal,https://media-4.api-sports.io/football/teams/42.png,Leicester City,https://media-4.api-sports.io/football/teams/46.png
6,ENG-Premier League,2021,Arsenal,2020-11-01 Manchester Utd-Arsenal,11/1/2020,Matchweek 7,Sun,Away,W,1,0,Manchester Utd,3,0,0,12,11,0,16,12,15,1,0,0,57,9,18,33.3,16:30:00,Arsenal,https://media-4.api-sports.io/football/teams/42.png,Manchester Utd,https://media-4.api-sports.io/football/teams/33.png
7,ENG-Premier League,2021,Arsenal,2020-11-08 Arsenal-Aston Villa,11/8/2020,Matchweek 8,Sun,Home,L,0,3,Aston Villa,0,0,0,11,13,1,25,8,2,0,0,1,51,11,15,42.3,19:15:00,Arsenal,https://media-4.api-sports.io/football/teams/42.png,Aston Villa,https://media-4.api-sports.io/football/teams/66.png
8,ENG-Premier League,2021,Arsenal,2020-11-22 Leeds United-Arsenal,11/22/2020,Matchweek 9,Sun,Away,D,0,0,Leeds United,0,1,0,8,9,2,13,11,5,0,0,0,55,11,11,50.0,16:30:00,Arsenal,https://media-4.api-sports.io/football/teams/42.png,Leeds United,https://media-4.api-sports.io/football/teams/63.png
9,ENG-Premier League,2021,Arsenal,2020-11-29 Arsenal-Wolves,11/29/2020,Matchweek 10,Sun,Home,L,1,2,Wolves,3,0,0,13,12,2,35,9,6,0,0,0,41,16,14,53.3,19:15:00,Arsenal,https://media-4.api-sports.io/football/teams/42.png,Wolves,https://media-4.api-sports.io/football/teams/39.png
10,ENG-Premier League,2021,Arsenal,2020-12-06 Tottenham-Arsenal,12/6/2020,Matchweek 11,Sun,Away,L,0,2,Tottenham,2,0,0,12,15,0,44,5,11,0,0,0,51,19,19,50.0,16:30:00,Arsenal,https://media-4.api-sports.io/football/teams/42.png,Tottenham,https://media-4.api-sports.io/football/teams/47.png
11,ENG-Premier League,2021,Arsenal,2020-12-13 Arsenal-Burnley,12/13/2020,Matchweek 12,Sun,Home,L,0,1,Burnley,2,1,0,5,10,3,38,8,5,0,0,1,43,10,25,28.6,19:15:00,Arsenal,https://media-4.api-sports.io/football/teams/42.png,Burnley,https://media-4.api-sports.io/football/teams/44.png
12,ENG-Premier League,2021,Arsenal,2020-12-16 Arsenal-Southampton,12/16/2020,Matchweek 13,Wed,Home,D,1,1,Southampton,3,1,1,13,13,1,11,17,6,0,0,0,49,17,11,60.7,18:00:00,Arsenal,https://media-4.api-sports.io/football/teams/42.png,Southampton,https://media-4.api-sports.io/football/teams/41.png
13,ENG-Premier League,2021,Arsenal,2020-12-19 Everton-Arsenal,12/19/2020,Matchweek 14,Sat,Away,L,1,2,Everton,3,0,0,9,9,0,19,8,6,1,0,1,43,10,14,41.7,17:30:00,Arsenal,https://media-4.api-sports.io/football/teams/42.png,Everton,https://media-4.api-sports.io/football/teams/45.png
14,ENG-Premier League,2021,Arsenal,2020-12-26 Arsenal-Chelsea,12/26/2020,Matchweek 15,Sat,Home,W,3,1,Chelsea,2,0,0,13,10,1,16,7,7,1,1,0,39,16,35,31.4,17:30:00,Arsenal,https://media-4.api-sports.io/football/teams/42.png,Chelsea,https://media-4.api-sports.io/football/teams/49.png
15,ENG-Premier League,2021,Arsenal,2020-12-29 Brighton-Arsenal,12/29/2020,Matchweek 16,Tue,Away,W,1,0,Brighton,0,0,0,4,11,0,13,10,5,0,0,0,49,11,24,31.4,18:00:00,Arsenal,https://media-4.api-sports.io/football/teams/42.png,Brighton,https://media-4.api-sports.io/football/teams/51.png
16,ENG-Premier League,2021,Arsenal,2021-01-02 West Brom-Arsenal,1/2/2021,Matchweek 17,Sat,Away,W,4,0,West Brom,2,0,0,4,7,2,21,16,11,0,0,0,67,15,27,35.7,20:00:00,Arsenal,https://media-4.api-sports.io/football/teams/42.png,West Brom,https://media-4.api-sports.io/football/teams/60.png
17,ENG-Premier League,2021,Arsenal,2021-01-14 Arsenal-Crystal Palace,1/14/2021,Matchweek 18,Thu,Home,D,0,0,Crystal Palace,1,0,0,11,11,1,25,10,8,0,0,0,60,17,14,54.8,20:00:00,Arsenal,https://media-4.api-sports.io/football/teams/42.png,Crystal Palace,https://media-4.api-sports.io/football/teams/52.png
18,ENG-Premier League,2021,Arsenal,2021-01-18 Arsenal-Newcastle Utd,1/18/2021,Matchweek 19,Mon,Home,W,3,0,Newcastle Utd,0,0,0,9,8,4,26,9,5,0,0,0,62,9,16,36.0,20:00:00,Arsenal,https://media-4.api-sports.io/football/teams/42.png,Newcastle Utd,https://media-4.api-sports.io/football/teams/34.png
19,ENG-Premier League,2021,Arsenal,2021-01-26 Southampton-Arsenal,1/26/2021,Matchweek 20,Tue,Away,W,3,1,Southampton,2,0,0,6,11,2,16,7,8,0,0,0,43,11,10,52.4,20:15:00,Arsenal,https://media-4.api-sports.io/football/teams/42.png,Southampton,https://media-4.api-sports.io/football/teams/41.png
20,ENG-Premier League,2021,Arsenal,2021-01-30 Arsenal-Manchester Utd,1/30/2021,Matchweek 21,Sat,Home,D,0,0,Manchester Utd,1,0,0,9,16,0,12,13,7,0,0,0,54,10,12,45.5,17:30:00,Arsenal,https://media-4.api-sports.io/football/teams/42.png,Manchester Utd,https://media-4.api-sports.io/football/teams/33.png
